NM_MUN,area_calc_km2
Nova Guataporanga,34.533893830749214
Taquarivaí,232.41494893657833
Itaquaquecetuba,82.5934304382036
Suzano,206.16194080927409
Descalvado,754.5056437670183
Cordeirópolis,137.6791909997874
Santa Cruz da Esperança,148.17841843909295
Fernandópolis,553.5115693424007
Atibaia,478.4503381771722
Estiva Gerbi,74.15793593282702
Lourdes,114.68591890909573
Santo Antônio do Aracanguá,1318.2384640244434
Marília,1177.2406175336494
Urupês,325.2302222102631
Santa Bárbara d'Oeste,271.2293621832957
Dolcinópolis,78.52291746736408
Rubinéia,245.06764553473272
Herculândia,366.74251022532576
Campos Novos Paulista,486.9962048852332
Sarutaiá,142.23157105482852
Hortolândia,62.44489702838681
Suzanápolis,333.6188030095868
Alto Alegre,320.6017780607795
Monte Aprazível,498.18816725716
Holambra,65.59751120019014
Iracemápolis,115.2175760819003
Mirandópolis,926.2106496703396
Uchoa,253.40078695935262
Cássia dos Coqueiros,191.7646938940314
Igarapava,468.8930015082146
Ribeirão do Sul,204.33286474600092
Nipoã,138.34212494966633
Teodoro Sampaio,1576.8910448889021
Porto Feliz,557.1740705310499
Borá,119.80475606336697
Itápolis,999.8049499595355
Pereiras,223.47053156292736
Pariquera-Açu,359.86533678070026
Pirassununga,727.6321287859752
Ribeirão dos Índios,198.55228321704442
Vista Alegre do Alto,95.69180073925398
Rio Grande da Serra,36.32947167598212
Lençóis Paulista,811.9889591783201
Miracatu,1002.1490716094786
Caçapava,368.74446661534256
Gastão Vidigal,181.73841201524363
Iepê,600.2236556452939
Alumínio,83.66406334874061
São Carlos,1138.464857895262
Taguaí,145.94140549013437
Iperó,170.45667788491514
São Roque,307.014659806968
Ariranha,133.02356343143774
Anhumas,324.07749910551473
Vitória Brasil,50.19872753196424
Parisi,85.25143437596132
Barretos,1570.5366937799104
Queluz,249.20261367660473
Paranapanema,1021.7006519862215
Gavião Peixoto,244.3371699899434
Caieiras,97.64077006502497
Júlio Mesquita,128.8587521088889
Oscar Bressane,223.5690673805117
Flórida Paulista,529.0379773805954
Bocaina,364.82916005580984
Santa Rosa de Viterbo,288.77442331643283
Pindamonhangaba,730.8106697256597
Manduri,229.96532559208075
Sertãozinho,403.7398659371004
Cerqueira César,513.4947891440131
